seed,lines,inputs,holds,score,combo,topcombo,btb,topbtb,tspins,piecesplaced,finalTime,,clears.singles,clears.doubles,clears.triples,clears.quads,clears.realtspins,clears.minitspins,clears.minitspinsingles,clears.tspinsingles,clears.tspindoubles,clears.tspintriples,clears.allclear,finesse.combo,finesse.faults,finesse.perfectpieces,replayid,copy,Stacking,,,,
485814242,41,442,26,20054,4,4,0,7,3,109,95296.66667,,1,4,0,7,0,0,0,2,1,0,1,0,73,69,63a0485ff1f2a5e084bd0108,r:63a0485ff1f2a5e084bd0108,36770,,,,
1185262030,40,452,27,10272,2,8,0,0,0,109,66958.33333,,17,10,1,0,0,0,0,0,0,0,0,0,72,63,6448f734c320444993e7bd98,r:6448f734c320444993e7bd98,Mix,2 Wide,Freestyle,,
1377626666,40,440,19,13070,3,4,0,6,0,107,79916.66667,,2,2,2,7,0,0,0,0,0,0,0,2,101,52,63ceb2cf63226d6d116df18d,r:63ceb2cf63226d6d116df18d,9-0,,,,
1977872196,40,358,23,11952,4,9,0,1,0,107,63378.33333,,11,9,1,2,0,0,0,0,0,0,0,5,47,73,6426e3bfa0759606b8f80a68,r:6426e3bfa0759606b8f80a68,2 Wide,,,,
60347983,40,336,6,9864,1,3,0,2,0,102,79513.33333,,15,7,1,2,0,0,0,0,0,0,0,6,40,77,63191527d979a4ceff559c4c,r:63191527d979a4ceff559c4c,Freestyle,,,,
2071943736,40,383,27,10940,1,4,0,2,0,104,54055,,10,5,0,5,0,0,0,0,0,0,0,4,55,71,64391df9e41a231dbf335473,r:64391df9e41a231dbf335473,9-0,,,,
1815364677,40,378,13,12130,1,9,0,1,0,102,66391.66667,,13,7,3,1,0,0,0,0,0,0,0,1,79,57,644f6b0054481fd487d4703b,r:644f6b0054481fd487d4703b,2 Wide,,,,
465808442,40,399,20,11706,2,9,0,0,0,102,84898.33333,,10,12,2,0,0,0,0,0,0,0,0,0,82,59,644267de44b3865c6888d9c3,r:644267de44b3865c6888d9c3,2 Wide,,,,
1818823438,40,342,14,10302,1,2,0,2,0,103,45651.66667,,9,8,1,3,0,0,0,0,0,0,0,4,40,78,6272943b3fd82c068e52262f,r:6272943b3fd82c068e52262f,Freestyle,,,,
1870993385,40,403,25,12320,2,4,0,4,0,101,82733.33333,,4,4,0,7,0,0,0,0,0,0,0,2,60,74,643f381a746b9a663ddd9b1f,r:643f381a746b9a663ddd9b1f,Mix,0-9,9-0,,
8768773,40,507,23,10612,1,6,0,1,0,104,71678.33333,,14,7,0,3,0,0,0,0,0,0,0,1,167,40,64317218cf4508581d2c6fac,r:64317218cf4508581d2c6fac,2 Wide,,,,
1106036280,41,518,,11816,1,3,4,4,0,108,126668.3333,,6,4,1,6,0,0,0,0,0,0,0,1,167,43,610084c41ef37d32d31bb67c,r:610084c41ef37d32d31bb67c,Freestyle,,,,
24540016,41,420,17,11143,3,7,0,1,0,116,116910,,9,11,2,1,0,0,0,0,0,0,0,0,77,76,642d2c1819b9aa580ef9ac2f,r:642d2c1819b9aa580ef9ac2f,3 Wide,,,,
293562018,40,444,25,8973,1,2,0,0,0,102,97730,,24,5,2,0,0,0,0,0,0,0,0,1,100,56,63016da329db433b015dfe06,r:63016da329db433b015dfe06,Freestyle,,,,
2066801776,40,469,26,13360,3,3,0,8,0,113,90326.66667,,4,2,0,8,0,0,0,0,0,0,0,0,82,72,643a960b4e592db292afabbf,r:643a960b4e592db292afabbf,9-0,,,,
488390766,40,330,26,7643,2,4,0,0,0,107,74596.66667,,29,4,1,0,0,0,0,0,0,0,0,0,26,88,643bf66ce756836e237e2fa8,r:643bf66ce756836e237e2fa8,Freestyle,,,,
553242310,40,393,,11728,1,12,0,0,0,101,74628.33333,,25,6,1,0,0,0,0,0,0,0,0,2,73,61,60f46903a2f6c832f63ce64c,r:60f46903a2f6c832f63ce64c,Mix,3 wide,Freestyle,,
1687991055,40,341,32,8646,1,2,0,0,0,105,74521.66667,,29,4,1,0,0,0,0,0,0,0,0,0,32,83,63c02dc9544ba3cfca7bc252,r:63c02dc9544ba3cfca7bc252,Freestyle,,,,
450351482,40,495,30,14573,2,2,0,9,1,125,78935,,4,0,0,9,1,0,0,0,0,0,0,0,96,73,63f352e6b507939b0a624218,r:63f352e6b507939b0a624218,36770,,,,
1170855073,40,402,0,9208,1,4,0,0,0,102,72215,,27,5,1,0,0,0,0,0,0,0,0,0,108,43,6338d5f57df503600a35d27e,r:6338d5f57df503600a35d27e,Freestyle,,,,
932918431,40,351,11,10306,2,3,0,1,0,103,70106.66667,,10,4,2,4,0,0,0,0,0,0,0,1,38,75,6431fca185f1735820b166f4,r:6431fca185f1735820b166f4,Freestyle,,,,
1538487148,40,316,9,11890,1,3,0,5,0,102,70420,,9,4,1,5,0,0,0,0,0,0,0,18,14,92,64517f47c168111ad2def3b4,r:64517f47c168111ad2def3b4,9-0,,,,
935071498,40,394,14,18316,1,2,9,9,2,114,64446.66667,,0,0,1,9,1,0,1,0,0,0,1,1,48,87,6400e6cabe02c29b2020d50b,r:6400e6cabe02c29b2020d50b,9-0,,,,
1699962113,40,440,25,13120,1,3,0,6,0,105,73985,,4,2,0,8,0,0,0,0,0,0,0,0,97,59,64372ca33868c14555437247,r:64372ca33868c14555437247,Freestyle,,,,
1556337704,40,361,25,14946,1,1,10,10,0,101,63505,,0,0,0,10,0,0,0,0,0,0,0,4,49,72,643c8f920d843ea41d78c1c4,r:643c8f920d843ea41d78c1c4,9-0,,,,
1776742201,41,424,28,11438,1,7,1,1,0,108,77598.33333,,9,5,2,4,0,0,0,0,0,0,0,1,71,65,644a5029d133a913b12b28bb,r:644a5029d133a913b12b28bb,9-0,,,,
264393110,40,374,,11400,2,2,0,5,0,101,63025,,14,1,0,6,0,0,0,0,0,0,0,5,50,75,605ac3c1d8bf2a23b07866b7,r:605ac3c1d8bf2a23b07866b7,Mix,0-9,Freestyle,,
1253645155,41,528,26,11944,1,3,0,1,3,108,172595,,11,7,0,3,1,0,0,0,2,0,0,3,115,65,62ad474165acdbce1a644a9f,r:62ad474165acdbce1a644a9f,Freestyle,,,,
1371087337,40,296,1,12902,3,3,0,7,0,101,64506.66667,,4,1,2,7,0,0,0,0,0,0,0,2,27,85,61d4ba26fd658574063270c9,r:61d4ba26fd658574063270c9,Freestyle,,,,
1731428405,41,423,,13218,1,2,4,4,0,113,81548.33333,,2,0,1,9,0,0,0,0,0,0,0,1,98,74,6052a4ae10122e23998ec72c,r:6052a4ae10122e23998ec72c,9-0,,,,
